image,codec,level,bpp,ref_name,base_name,ours_name,num_vote_base,num_vote_ours,psnry_base,psnry_ours,vmaf_base,vmaf_ours,vifp_base,vifp_ours
kodim01,b2017,1,0.0497,kodim01.png,kodim01_b2017_base_1.png,kodim01_b2017_ours_1.png,12,35,22.9284,23.1936,17.6123,21.7852,0.3586,0.3852
kodim01,b2017,2,0.1442,kodim01.png,kodim01_b2017_base_2.png,kodim01_b2017_ours_2.png,15,32,24.8378,25.2721,41.5860,43.6329,0.5626,0.5927
kodim01,b2017,3,0.2770,kodim01.png,kodim01_b2017_base_3.png,kodim01_b2017_ours_3.png,26,21,26.8923,26.9047,59.1260,59.4983,0.7349,0.7350
kodim01,b2017,4,0.6745,kodim01.png,kodim01_b2017_base_4.png,kodim01_b2017_ours_4.png,17,30,29.8000,29.9529,76.2313,78.4831,0.8714,0.8883
kodim01,b2018,1,0.0540,kodim01.png,kodim01_b2018_base_1.png,kodim01_b2018_ours_1.png,5,42,22.8547,23.2853,18.0663,27.9066,0.3662,0.3928
kodim01,b2018,2,0.0849,kodim01.png,kodim01_b2018_base_2.png,kodim01_b2018_ours_2.png,12,35,24.0210,24.1689,33.0660,40.7976,0.4644,0.4806
kodim01,b2018,3,0.1388,kodim01.png,kodim01_b2018_base_3.png,kodim01_b2018_ours_3.png,11,36,25.1574,25.0776,45.1153,54.6941,0.5703,0.6145
kodim01,b2018,4,0.4761,kodim01.png,kodim01_b2018_base_4.png,kodim01_b2018_ours_4.png,13,34,29.3576,29.3059,74.6063,76.9748,0.8267,0.8508
kodim02,b2017,1,0.0370,kodim02.png,kodim02_b2017_base_1.png,kodim02_b2017_ours_1.png,2,45,27.9960,29.1038,29.9479,36.0518,0.3615,0.4404
kodim02,b2017,2,0.1035,kodim02.png,kodim02_b2017_base_2.png,kodim02_b2017_ours_2.png,6,41,30.0734,30.8642,47.8257,59.4503,0.5170,0.6249
kodim02,b2017,3,0.2374,kodim02.png,kodim02_b2017_base_3.png,kodim02_b2017_ours_3.png,22,25,32.9181,32.9713,74.3259,77.0432,0.7758,0.7991
kodim02,b2017,4,0.6673,kodim02.png,kodim02_b2017_base_4.png,kodim02_b2017_ours_4.png,23,24,36.8130,36.4916,87.3639,88.2105,0.9495,0.9474
kodim02,b2018,1,0.0310,kodim02.png,kodim02_b2018_base_1.png,kodim02_b2018_ours_1.png,4,43,28.1265,28.8961,27.7245,41.9880,0.3476,0.4278
kodim02,b2018,2,0.0502,kodim02.png,kodim02_b2018_base_2.png,kodim02_b2018_ours_2.png,3,44,29.0408,29.7960,45.0576,55.9982,0.4658,0.5499
kodim02,b2018,3,0.2162,kodim02.png,kodim02_b2018_base_3.png,kodim02_b2018_ours_3.png,19,28,33.5352,33.2039,79.2552,83.9823,0.7998,0.8438
kodim02,b2018,4,0.8685,kodim02.png,kodim02_b2018_base_4.png,kodim02_b2018_ours_4.png,20,27,39.5769,38.8439,93.8872,92.8087,0.9719,0.9744
kodim03,b2017,1,0.0345,kodim03.png,kodim03_b2017_base_1.png,kodim03_b2017_ours_1.png,11,36,29.3172,30.0681,26.3146,32.3883,0.4600,0.4984
kodim03,b2017,2,0.1489,kodim03.png,kodim03_b2017_base_2.png,kodim03_b2017_ours_2.png,11,36,33.3253,33.8252,61.1057,67.5158,0.7193,0.7658
kodim03,b2017,3,0.2280,kodim03.png,kodim03_b2017_base_3.png,kodim03_b2017_ours_3.png,14,33,34.8139,35.3011,70.6385,77.3505,0.7949,0.8450
kodim03,b2017,4,0.5509,kodim03.png,kodim03_b2017_base_4.png,kodim03_b2017_ours_4.png,16,31,38.8299,38.4782,85.2349,86.4669,0.9293,0.9291
kodim03,b2018,1,0.0158,kodim03.png,kodim03_b2018_base_1.png,kodim03_b2018_ours_1.png,24,23,28.4599,28.2570,27.4314,12.4939,0.4443,0.3897
kodim03,b2018,2,0.0393,kodim03.png,kodim03_b2018_base_2.png,kodim03_b2018_ours_2.png,19,28,30.2224,30.4761,43.7278,44.5304,0.5550,0.5821
kodim03,b2018,3,0.1543,kodim03.png,kodim03_b2018_base_3.png,kodim03_b2018_ours_3.png,9,38,34.9719,34.9532,74.8230,77.1734,0.7865,0.8157
kodim03,b2018,4,0.2102,kodim03.png,kodim03_b2018_base_4.png,kodim03_b2018_ours_4.png,16,31,36.7407,35.8092,80.8664,83.2356,0.8388,0.8669
kodim05,b2017,1,0.0754,kodim05.png,kodim05_b2017_base_1.png,kodim05_b2017_ours_1.png,20,27,22.4711,22.3980,28.2733,27.5539,0.4698,0.4549
kodim05,b2017,2,0.0980,kodim05.png,kodim05_b2017_base_2.png,kodim05_b2017_ours_2.png,29,18,23.1903,23.0861,35.3462,36.1308,0.5278,0.5070
kodim05,b2017,3,0.3535,kodim05.png,kodim05_b2017_base_3.png,kodim05_b2017_ours_3.png,15,32,26.3574,27.0478,62.4026,65.5840,0.7447,0.7573
kodim05,b2017,4,0.5456,kodim05.png,kodim05_b2017_base_4.png,kodim05_b2017_ours_4.png,20,27,28.7342,28.8449,73.5517,75.0448,0.8335,0.8342
kodim05,b2018,1,0.1246,kodim05.png,kodim05_b2018_base_1.png,kodim05_b2018_ours_1.png,23,24,24.0343,23.7958,43.8562,48.1531,0.5622,0.5453
kodim05,b2018,2,0.1545,kodim05.png,kodim05_b2018_base_2.png,kodim05_b2018_ours_2.png,22,25,25.1148,24.4856,50.4134,54.9508,0.6188,0.6031
kodim05,b2018,3,0.4033,kodim05.png,kodim05_b2018_base_3.png,kodim05_b2018_ours_3.png,18,29,28.2755,28.5597,69.5971,75.4773,0.7722,0.8052
kodim05,b2018,4,0.6384,kodim05.png,kodim05_b2018_base_4.png,kodim05_b2018_ours_4.png,12,35,31.1304,31.3206,79.4247,82.3291,0.8588,0.8802
kodim06,b2017,1,0.0607,kodim06.png,kodim06_b2017_base_1.png,kodim06_b2017_ours_1.png,10,37,24.9506,25.1466,23.5357,25.4647,0.3821,0.3881
kodim06,b2017,2,0.0783,kodim06.png,kodim06_b2017_base_2.png,kodim06_b2017_ours_2.png,13,34,25.4310,25.5626,30.4738,32.6056,0.4350,0.4404
kodim06,b2017,3,0.2428,kodim06.png,kodim06_b2017_base_3.png,kodim06_b2017_ours_3.png,21,26,27.9770,28.0462,56.3397,58.7943,0.6729,0.6818
kodim06,b2017,4,0.8889,kodim06.png,kodim06_b2017_base_4.png,kodim06_b2017_ours_4.png,21,26,33.3273,33.1817,83.9160,83.1970,0.9273,0.9281
kodim06,b2018,1,0.0359,kodim06.png,kodim06_b2018_base_1.png,kodim06_b2018_ours_1.png,12,35,24.3126,24.5568,14.3793,20.7706,0.3052,0.3147
kodim06,b2018,2,0.0774,kodim06.png,kodim06_b2018_base_2.png,kodim06_b2018_ours_2.png,8,39,25.6220,25.7538,38.8536,42.1091,0.4469,0.4644
kodim06,b2018,3,0.2321,kodim06.png,kodim06_b2018_base_3.png,kodim06_b2018_ours_3.png,19,28,29.2012,29.0693,65.0669,68.3711,0.6923,0.7240
kodim06,b2018,4,0.4003,kodim06.png,kodim06_b2018_base_4.png,kodim06_b2018_ours_4.png,18,29,31.7646,31.4742,74.8070,78.9174,0.8016,0.8340
kodim07,b2017,1,0.0858,kodim07.png,kodim07_b2017_base_1.png,kodim07_b2017_ours_1.png,12,35,28.9185,29.4037,37.4112,39.1768,0.5721,0.6138
kodim07,b2017,2,0.2751,kodim07.png,kodim07_b2017_base_2.png,kodim07_b2017_ours_2.png,17,30,33.9557,34.0450,70.0100,72.5574,0.8232,0.8370
kodim07,b2017,3,0.3031,kodim07.png,kodim07_b2017_base_3.png,kodim07_b2017_ours_3.png,20,27,34.4404,34.4617,71.0900,76.2298,0.8371,0.8634
kodim07,b2017,4,0.6384,kodim07.png,kodim07_b2017_base_4.png,kodim07_b2017_ours_4.png,21,26,38.5367,38.4919,87.0994,85.6953,0.9450,0.9394
kodim07,b2018,1,0.0599,kodim07.png,kodim07_b2018_base_1.png,kodim07_b2018_ours_1.png,12,35,28.0719,28.1813,32.4702,41.4951,0.5266,0.5436
kodim07,b2018,2,0.0884,kodim07.png,kodim07_b2018_base_2.png,kodim07_b2018_ours_2.png,11,36,29.5376,28.9138,49.0984,60.2818,0.6396,0.6637
kodim07,b2018,3,0.3347,kodim07.png,kodim07_b2018_base_3.png,kodim07_b2018_ours_3.png,24,23,36.4998,35.7894,81.9605,85.9472,0.8906,0.9068
kodim07,b2018,4,0.7860,kodim07.png,kodim07_b2018_base_4.png,kodim07_b2018_ours_4.png,20,27,41.9863,41.0195,93.1498,91.3111,0.9721,0.9712
kodim08,b2017,1,0.0761,kodim08.png,kodim08_b2017_base_1.png,kodim08_b2017_ours_1.png,13,34,20.3059,20.7543,24.1399,29.9225,0.4731,0.5159
kodim08,b2017,2,0.1034,kodim08.png,kodim08_b2017_base_2.png,kodim08_b2017_ours_2.png,7,40,20.9459,21.4065,31.4588,36.4261,0.5378,0.5666
kodim08,b2017,3,0.3607,kodim08.png,kodim08_b2017_base_3.png,kodim08_b2017_ours_3.png,23,24,25.0957,25.4604,64.1639,66.1554,0.7688,0.7709
kodim08,b2017,4,0.7392,kodim08.png,kodim08_b2017_base_4.png,kodim08_b2017_ours_4.png,19,28,28.6306,28.8836,80.1594,82.0688,0.8802,0.8964
